Light Rain,,Небольщой дождь
MUSIC VOLUME,,ГРОМКОСТЬ МУЗЫКИ
Maybe something good. Or maybe a disaster.,,Может быть, что-то хорошее. А может катастрофа.
Meat-based printer,,Мясной принтер
Moderate,,Умеренный
Must be an XBus pin,,Должен быть контакт XBus
Must be simple I/O pin,,Должен быть простой контакт ввода/вывода
N/A,,Н/Д
NEW GAME,,НОВАЯ ИГРА
NOT YET AVAILABLE,,ПОКА НЕДОСТУПНО
NOT YET VERIFIED,,ЕЩЕ НЕ ПОДТВЕРЖДЕНО
NOTE,,ЗАПИСКА
NOW:,,СЕЙЧАС:
Neural processor logic board,,Логическая плата нейронного процессора
New design,,Новый проект
Number too large,,Слишком большое число
Number too small,,Число слишком маленькое
OBJECTIVE,,ЗАДАЧА
OBJECTIVE COMPLETE,,ЗАДАЧА ВЫПОЛНЕНА
OFF,,ВЫКЛЮЧЕНО
OFF TIME,,ВРЕМЯ ВЫКЛ.
ON,,ВКЛЮЧЕНО
ON TIME,,ВРЕМЯ ВКЛ.
OPEN DESIGN,,ОТКРЫТЬ ПРОЕКТ
OPEN IN CONCEPT CAD,,ОТКРЫТЬ В САПР
"Okay, we believe you. Great work!",,"Хорошо, мы вам верим. Отличная работа!"
One thing I can always count on:,,В одном я всегда могу быть уверен:
Overcast,,Пасмурная
PART,,ЧАСТЬ
PART NOT RECOMMENDED,,ЧАСТЬ НЕ РЕКОМЕНДУЕМ
PARTS,,ЧАСТИ
PHASE 0,,ФАЗА 0
PHASE 1,,ФАЗА 1
PHASE 2,,ФАЗА 2
POWER USAGE,,ЭНЕРГОПОТРЕБЛЕН.
PREV:,,РАНЬШЕ:
PRICE,,ЦЕНА
PRODUCT COST,,СТОИМОСТЬ ПРОД.
PRODUCT:,,ПРОДУКТ：
PRODUCTION COST,,СТОИМОСТЬ ПРОИЗВОДСТВА
PROTOTYPE,,ПРОТОТИП
PUZZLE ARCHIVE,,АРХИВ ГОЛОВОЛОМОК
Part connected to self,,Часть, связанная с собой
Part not on board,,Часть не на плате
Part not sleeping,,Часть без паузы
Part not sleeping (blocked on read),,Часть без паузы （бло- кируется при чтении）
Part not sleeping (blocked on write),,Часть без паузы （бло- кируется при записи）
Passive infrared sensor,,Пассивный инфракрасный датчик
Personal sandwich assembler,,Персональный сборщик сэндвичей
Personal sandwich maker,,Персональный производитель сэндвичей
Pin does not exist,,Контакт не существует
Pin is not connected,,Контакт не подключен
Pin type mismatch,,Несоответствие типа контакта
Pocket I Ching oracle,,Карманный предсказатель И Цзин
Pollution-sensing smart window,,Умное окно с датчиком загрязнения
Poor,,Плохое
Precision food scale,,Прецизионные пищевые весы
Prototyping area,,Зона прототипирования
R,KEY NAME,R
RESOLUTION,,РЕЗОЛЮЦИЯ
RETURN TO EMAIL,,ВЕРНУТЬСЯ В ПОЧТУ
REVERIFICATION REQUIRED,,ТРЕБУЕТСЯ ПОВТОРНАЯ ПРОВЕРКА
Rain,,Дождь
Re:,,Re:
Register not present,,Регистрация отсутствует
Remote kill switch,,Удаленный выключатель
SHENZHEN I/O trailer,,ролик SHENZHEN I/O
SHOW PARTS,,ПОКАЗАТЬ ЧАСТИ
SHOW PROFILER,,ПОКАЗ. АНАЛИЗАТОР
SHOW SIGNALS,,ПОКАЗАТЬ СИГНАЛ
SHOW WIRES,,ПОКАЗ. ДОРОЖКИ
SIZE 1,,РАЗМЕР 1
SIZE 2,,РАЗМЕР 2
SIZE 3,,РАЗМЕР 3
SOUND VOLUME,,ГРОМКОСТЬ
SPECIFICATIONS,,СПЕЦИФИКАЦИЯ
STEAM WORKSHOP,,STEAM WORKSHOP
SafetyNet tracking badge,,Значок отслеживания SafetyNet
Scientific chronometer,,Научный хронометр
Sector 203 (商住区) - CAM 02 - LIVE,,Район 203 (商住区) — Камера 02 - в прямом эфире
"Sector 203, The Independent Principality of Avalon City",,"Район 203, Независимое княжество города Авалон"
Simple,,Простой
Smart grid control router,,Умный маршрутизатор управления сетью
So what did I accomplish in Shenzhen?,,Так чего же я добился в Шэньчжэне?
Solitaire,,Пасьянс
Somewhere I could do what I was meant to do.,,Это место, где я могу использовать свои таланты.
Spoiler blocking headphones,,Наушники с шумопадавлением
Sunny,,Солнечный
Sunshowers,,Грибной дождь
Sushi-making robot,,Робот для приготовления суши
TAB,KEY NAME,TAB
TEST RUN,,ТЕСТ СТАРТОВАЛ
THIS:,,ЭТОТ：
TIME 1,,ВРЕМЯ 1
TIME 2,,ВРЕМЯ 2
TIME 3,,ВРЕМЯ 3
TYPE 1,,ТИП 1
TYPE 2,,ТИП 2
TYPE 3,,ТИП 3
The free cells in the top-left corner of the table can store one card of any type.,,Пустое место в верхнем левом углу столешницы может хранить карты любого типа.
"There's no way for us to verify this, so we're trusting you.",,"Мы не можем подтвердить, поэтому мы доверяем вам."
Thorium reactor status monitor,,Монитор состояния ториевого реактора
To the start of something new.,,Начните создавать новые вещи.
"To win, stack the three suits from 1 to 9 in the top-right corner of the table.",,"Чтобы выиграть, сложите три масти от 1 до 9 в правом верхнем углу стола."
Token-based payment kiosk,,Платежный терминал на основе токенов
Too many operands,,Слишком много операндов
Traffic signal,,Сигнал светофора
Type,,Тип
UPLOAD,,ЗАГРУЗКА
UPLOAD ERROR:,,ОШИБКА ЗАГРУЗКИ:
Unknown optimization device,,Неизвестное устройство оптимизации
Uploading specification to Steam Workshop...,,Загрузка спецификации в Steam Workshop
VALUE,,ЗНАЧЕНИЕ
VERIFICATION,,ПРОВЕРКА
VERIFICATION COMPLETE:,,ПРОВЕРКА ЗАВЕРШЕНА:
Value,,Значение
Very Poor,,Очень плохой
Virtual reality buzzer,,Эмуляция зуммера
WIN COUNT,,ПОБЕД
Weather:\nTemperature:\nAir Quality:\nDrone Activity:,,Погода：\nТемпература:\nКачество воздуха:\nАктивность дрона:
"When all four dragons of a single type are exposed, they can all be permanently moved to an open free cell by pushing the corresponding button.",,"Когда все четыре карты одного типа выставлены на стол, можно нажать соответствующую кнопку, чтобы переместить их в открытую пустую ячейку."
Win a game of solitaire,,Выиграйте игру пасьянс
Wireless game controller,,Беспроводной игровой контроллер
XBus,,XBus
You have created a working design for this specification!\n\nClick the *upload* button below to upload this specification to Steam Workshop.,,Вы создали рабочий дизайн, который соответствует спецификациям!\n\nНажмите кнопку *Загрузить*, чтобы загрузить дизайн в Steam Workshop.
You must create a working design for this specification before you can upload it to Steam Workshop.,,Вы должны создать рабочий дизайн для этой спецификации, прежде чем вы сможете загрузить дизайн в Steam Workshop.
"You will not lose access to any puzzles, but there will be no going back!",,"У вас по-прежнему есть доступ ко всем головоломкам，но вы не сможете вернуться в позже!"
You will not lose access to any puzzles.,,У вас по-прежнему есть доступ ко всем головоломкам.。
You've successfully completed one test run! Let the simulation continue running to complete the verification process.,,Вы успешно завершили один тестовый запуск! Пусть симуляция продолжит работу, чтобы завершить процесс проверки.
a,SIGNAL NAME,a
active,SIGNAL NAME,активный
alarm,SIGNAL NAME,будильник
alive,SIGNAL NAME,действующий
audio-in,SIGNAL NAME,аудио вход
audio-out,SIGNAL NAME,аудио выход
b,SIGNAL NAME,b
bell,SIGNAL NAME,колокол
blue,SIGNAL NAME,синий
bread,SIGNAL NAME,хлеб
button,SIGNAL NAME,кнопка
buzzer,SIGNAL NAME,зуммер
card-reader,SIGNAL NAME,картридер
cash-100,SIGNAL NAME,наличные-100
cash-20,SIGNAL NAME,наличные-20
cash-50,SIGNAL NAME,наличные-50
cheese,SIGNAL NAME,сыр
click-0,SIGNAL NAME,нажатие-0
click-1,SIGNAL NAME,нажатие-1
conceptMAIL,,ПОЧТА
conceptSPEC,,СПЕЦИФИКАЦИЯ
control,SIGNAL NAME,контроль
control-in,SIGNAL NAME,контроль-вход
control-out,SIGNAL NAME,контроль-выход
cranberry,SIGNAL NAME,клюква
data,SIGNAL NAME,данные
detect,SIGNAL NAME,обнаружить
display,SIGNAL NAME,дисплей
display output,,вывод на дисплей
drink-0,SIGNAL NAME,напиток-0
drink-1,SIGNAL NAME,напиток-1
drink-2,SIGNAL NAME,напиток-2
emergency,SIGNAL NAME,аварийный
error,SIGNAL NAME,ошибка
extend,SIGNAL NAME,протянуть
extrude,SIGNAL NAME,экструдер
fire,SIGNAL NAME,огонь (fire)
fish,SIGNAL NAME,рыба
flag,SIGNAL NAME,флаг
flood-20,SIGNAL NAME,поток-20
flood-60,SIGNAL NAME,поток-60
food-a,SIGNAL NAME,еда-a (food-a)
food-b,SIGNAL NAME,еда-b (food-b)
foul,SIGNAL NAME,грязный
gate-a,SIGNAL NAME,ворота-a
gate-b,SIGNAL NAME,ворота-b
gate-c,SIGNAL NAME,ворота-c
gin,SIGNAL NAME,джин
grab,SIGNAL NAME,grab
green,SIGNAL NAME,зеленый
harvest,SIGNAL NAME,урожай
higher-in,SIGNAL NAME,верхний вход
higher-out,SIGNAL NAME,верхний выход
hit,SIGNAL NAME,ударять
in-1,SIGNAL NAME,вход-1
in-12,SIGNAL NAME,вход-12
in-5,SIGNAL NAME,вход-5
ink-k,SIGNAL NAME,ink-k
ink-n,SIGNAL NAME,ink-n
input,SIGNAL NAME,вход
input,,вход
keypad,SIGNAL NAME,клавиатура
keywords,SIGNAL NAME,ключевые слова
laser,SIGNAL NAME,лазер
learn,SIGNAL NAME,учиться
lemon,SIGNAL NAME,лимон
light,SIGNAL NAME,лампа
light-0,SIGNAL NAME,лампа-0
light-1,SIGNAL NAME,лампа-1
light-2,SIGNAL NAME,лампа-2
lime,SIGNAL NAME,лайм
logos-data,SIGNAL NAME,logos-data
logos-pump,SIGNAL NAME,logos-pump 
lower-in,SIGNAL NAME,нижний вход
lower-out,SIGNAL NAME,нижний выход
magnetic,SIGNAL NAME,магнитный
maximize,SIGNAL NAME,максимизировать
meat,SIGNAL NAME,мясо
mesh-data,SIGNAL NAME,данные сетки
meter-in,SIGNAL NAME,вход счетчика
meter-out,SIGNAL NAME,выход счетчика
motor,SIGNAL NAME,Мотор
motor-0,SIGNAL NAME,Мотор-0
motor-1,SIGNAL NAME,Мотор-1
motor-2,SIGNAL NAME,Мотор-2
motor-3,SIGNAL NAME,Мотор-3
motor-x,SIGNAL NAME,Мотор-x
motor-y,SIGNAL NAME,Мотор-y
mustard,SIGNAL NAME,горчица
negated,SIGNAL NAME,отрицать
network,SIGNAL NAME,сеть
non-blocking,,неблокирующий
none,,никто
oracle,SIGNAL NAME,предсказатель
out-1,SIGNAL NAME,выход-1
out-5,SIGNAL NAME,выход-5
output,SIGNAL NAME,выход
output,,выход
override,SIGNAL NAME,замещать
point,SIGNAL NAME,точка
power,SIGNAL NAME,мощность
power-0,SIGNAL NAME,мощность-0
power-1,SIGNAL NAME,мощность-1
power-2,SIGNAL NAME,мощность-2
product,SIGNAL NAME,продукт
pulse,SIGNAL NAME,импульс
radar-in,SIGNAL NAME,радар-вход
radar-out,SIGNAL NAME,радар-выход
radar-ping,SIGNAL NAME,радар-пинг
radar-sync,SIGNAL NAME,радар-синхронизация
radio-rx,SIGNAL NAME,радиоприём
radio-tx,SIGNAL NAME,радиопередача
random,SIGNAL NAME,случайный
recommended,,рекомендуемые
red,SIGNAL NAME,красный
reload,SIGNAL NAME,перезагрузить
reset-off,SIGNAL NAME,reset-off
respawn,SIGNAL NAME,респаун
rice,SIGNAL NAME,рис
score-1,SIGNAL NAME,счет-1
score-2,SIGNAL NAME,счет-2
sense-0,SIGNAL NAME,значение-0
sense-1,SIGNAL NAME,значение-1
sense-2,SIGNAL NAME,значение-2
sense-3,SIGNAL NAME,значение-3
sense-4,SIGNAL NAME,значение-4
sense-5,SIGNAL NAME,значение-5
sensor,SIGNAL NAME,датчик
simple,,простой
sonar,SIGNAL NAME,сонар
speaker,SIGNAL NAME,динамик
stage-1,SIGNAL NAME,этап-1
stage-2,SIGNAL NAME,этап-2
stage-3,SIGNAL NAME,этап-3
stage-4,SIGNAL NAME,этап-4
start-stop,SIGNAL NAME,старт-стоп
tag-reader,SIGNAL NAME,считыватель тегов
target-x,SIGNAL NAME,цель-x (получатель)
target-y,SIGNAL NAME,цель-y (получатель)
telos-data,SIGNAL NAME,telos-данные (конечные данные)
telos-pump,SIGNAL NAME,telos-насос (Конечный насос)
temp,SIGNAL NAME,температура
time,SIGNAL NAME,время
tool-clean,SIGNAL NAME,инструмент чистки
tool-feed,SIGNAL NAME,инструмент подачи
touch,SIGNAL NAME,прикоснуться
trigger,SIGNAL NAME,триггер
unlock,SIGNAL NAME,разблокировать
valve-0,SIGNAL NAME,клапан-0
valve-1,SIGNAL NAME,клапан-1
valve-2,SIGNAL NAME,клапан-2
valve-α,SIGNAL NAME,клапан-α
valve-β,SIGNAL NAME,клапан-β
valve-ψ,SIGNAL NAME,вентиль-ψ
vermouth,SIGNAL NAME,вермут
vodka,SIGNAL NAME,водка
weight,SIGNAL NAME,масса
window,SIGNAL NAME,окно
x,SIGNAL NAME,x
y,SIGNAL NAME,y
{0} COST | {1} POWER | {2} LINES,,{0} ЦЕНА | {1} ЭНЕРГИЯ | {2} СТРОК КОДА
“That’s just not something we do in this country. Not anymore.”,,"Мы не можем сделать это в этой стране. Это больше не разрешено."
